source_id,destination_id,relationship_type,required_skills,optional_skills,estimated_time_months,transition_difficulty,recommended_certifications,probability,confidence,metadata
eea10ccb-5845-5b7c-8072-43d30f1ad5ff,521c0858-e8e1-5f56-bf8c-cf2e3e26e111,branch,[],[],,1,[],0.5,0.8,{}
521c0858-e8e1-5f56-bf8c-cf2e3e26e111,62774152-5a68-50b3-8a21-246c99e18297,next_step,[],[],,1,[],0.5,0.8,{}
eea10ccb-5845-5b7c-8072-43d30f1ad5ff,a8e026e2-1d78-53f0-a3d4-0fd8970212ca,branch,[],[],,1,[],0.5,0.8,{}
a8e026e2-1d78-53f0-a3d4-0fd8970212ca,4c66a0ad-5c98-5b00-a26d-99ceac2b11ad,branch,[],[],,4,[],0.5,0.8,{}
4c66a0ad-5c98-5b00-a26d-99ceac2b11ad,5ec30a3b-9df6-5d80-a5c3-5c011c384263,branch,[],[],,1,[],0.5,0.8,{}
5ec30a3b-9df6-5d80-a5c3-5c011c384263,cdbaaa02-f6a4-5edf-9cd3-6c3ac847bc77,branch,[],[],,1,[],0.5,0.8,{}
cdbaaa02-f6a4-5edf-9cd3-6c3ac847bc77,5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,next_step,[],[],,1,[],0.5,0.8,{}
984510e1-969d-57eb-ae90-863d156f979f,5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,requires_skill,[],[],,1,[],0.5,0.8,{}
357e853f-eef7-5a05-a9fc-3fd51dfac113,5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,requires_skill,[],[],,1,[],0.5,0.8,{}
adde4467-c9bd-5a0a-bac6-545254ffbad4,5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,requires_skill,[],[],,1,[],0.5,0.8,{}
283ef065-8396-5234-a127-c72847155304,5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,requires_skill,[],[],,1,[],0.5,0.8,{}
5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,809c07c4-3d6e-5cb1-b9f7-84183b6375f6,can_work_at,[],[],,1,[],0.5,0.8,{}
5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,f1f5ec28-0870-5ab3-842f-18dde3f0fb8c,can_work_at,[],[],,1,[],0.5,0.8,{}
5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,92975a79-c99d-5fa6-a34d-69438ee3ed57,can_work_at,[],[],,1,[],0.5,0.8,{}
5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,8de66253-992a-50ac-998c-4bcb3aae489b,can_work_at,[],[],,1,[],0.5,0.8,{}
5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,8590b8a4-bfb3-5417-9c15-c56fe63a17bf,can_work_at,[],[],,1,[],0.5,0.8,{}
5ad2be72-2b2b-5a07-be70-d80ba8ed1d5f,789d2c42-5a67-5069-aeea-a46dfda4593b,branch,[],[],,1,[],0.5,0.8,{}
789d2c42-5a67-5069-aeea-a46dfda4593b,0f0cfebd-83c3-5c68-9134-d5b68e006cb1,next_step,[],[],,1,[],0.5,0.8,{}
0f0cfebd-83c3-5c68-9134-d5b68e006cb1,8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,next_step,[],[],,5,[],0.5,0.8,{}
ae446bd9-3686-5f2b-9553-62014f40806a,8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,requires_skill,[],[],,1,[],0.5,0.8,{}
2a0e2ec5-4861-5b24-b941-89abbd97ae37,8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,requires_skill,[],[],,1,[],0.5,0.8,{}
21dcf294-2089-5659-8cf5-e232edbe7423,8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,requires_skill,[],[],,1,[],0.5,0.8,{}
335f1975-2a70-52b0-8a48-0388cfdd9635,8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,requires_skill,[],[],,1,[],0.5,0.8,{}
8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,f87db89e-0f3a-5526-abaf-3006f0f0e91a,can_work_at,[],[],,1,[],0.5,0.8,{}
8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,0b0642c4-fe94-5223-8892-603a99337a52,can_work_at,[],[],,1,[],0.5,0.8,{}
8d0c35c3-a4b1-59cc-a6b6-f096f6d1cf2d,eaf50ff0-ca00-5726-8ef6-78e09832c0a7,branch,[],[],,8,[],0.5,0.8,{}
ae446bd9-3686-5f2b-9553-62014f40806a,eaf50ff0-ca00-5726-8ef6-78e09832c0a7,requires_skill,[],[],,1,[],0.5,0.8,{}
46681e6a-f30e-5195-9be1-ca4727848ac1,eaf50ff0-ca00-5726-8ef6-78e09832c0a7,requires_skill,[],[],,1,[],0.5,0.8,{}
aeb0834e-22d8-54cf-a311-e97d9269adcd,eaf50ff0-ca00-5726-8ef6-78e09832c0a7,requires_skill,[],[],,1,[],0.5,0.8,{}
335f1975-2a70-52b0-8a48-0388cfdd9635,eaf50ff0-ca00-5726-8ef6-78e09832c0a7,requires_skill,[],[],,1,[],0.5,0.8,{}
eaf50ff0-ca00-5726-8ef6-78e09832c0a7,40690a93-db1a-5b61-8f0d-a28ab54413b8,branch,[],[],,1,[],0.5,0.8,{}
40690a93-db1a-5b61-8f0d-a28ab54413b8,6cbdfc24-1083-55f1-a551-bb611aca81b2,branch,[],[],,1,[],0.15,0.8,{}
