node_id,node_type,title,description,category,difficulty,education_level,career_level,industry,prerequisites,skills_required,skills_gained,recommended_certifications,estimated_duration_months,salary_band_inr,growth_score,demand_score,automation_risk,ai_impact,remote_work_potential,global_opportunity,government_opportunity,private_opportunity,freelance_opportunity,entrepreneurship_opportunity,metadata
eea10ccb-5845-5b7c-8072-43d30f1ad5ff,education,10th,10th - Career Node,,1,school,,,[],[],[],[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
620543d1-39dd-5a28-94b3-10b979710ea9,education,11th Science,11th Science - Career Node,,1,school,,,[],[],[],[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
86074299-5d6a-5077-a9ea-2989adcb112f,education,11th Commerce,11th Commerce - Career Node,,1,school,,,[],[],[],[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
49b443a3-ef1a-50ea-a25f-5a6a4453affc,education,11th Arts,11th Arts - Career Node,,1,school,,,[],[],[],[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
111a7805-dab2-562c-a574-75e34a8853a6,education,12th PCM,12th PCM - Career Node,,1,school,,,[],[],[],[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
17d126cf-2c55-5b6f-a471-4472807628b4,education,12th PCB,12th PCB - Career Node,,1,school,,,[],[],[],[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
0ff8ea5d-dfff-55d8-8939-ac0c4efc1192,education,12th Commerce,12th Commerce - Career Node,,1,school,,,[],[],[],[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
edd9c5b3-2409-5813-b141-624b762876bc,education,12th Arts,12th Arts - Career Node,,1,school,,,[],[],[],[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
d146a62f-76b7-55e2-959e-10a28908c3cc,education,ITI Electrician,ITI Electrician - Career Node,,1,diploma,,,[],[],[],[],24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
f3bda98a-4938-52b2-8e31-18f006aeeaec,education,ITI Fitter,ITI Fitter - Career Node,,1,diploma,,,[],[],[],[],24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
